valid_time,lat,lon,number,expver,sp,u10,v10,t2m,tp,Aykırı_Sütun
2016-12-01,37.29,44.06,0,1,828.68625,-0.21106207,-0.7140799,-5.3297000000000025,8.4030945,tp
2016-12-01,37.04,43.56,0,1,882.29625,-0.36865485,-0.9065543,-0.7993999999999915,8.137258,tp
2016-12-01,37.04,43.81,0,1,881.03625,-0.27142584,-0.9678336,-0.9923000000000002,8.409055,tp
2016-12-01,37.04,44.06,0,1,883.31625,-0.2775904,-0.9365836,-0.7085999999999899,8.539351,tp
2016-12-01,37.04,44.31,0,1,875.41625,-0.39319098,-0.7642508,-0.762299999999982,8.184345,tp
2016-12-01,36.54,44.81,0,1,848.18625,-0.41601813,-0.074217856,-0.8008799999999496,8.5409,tp
2020-03-01,37.29,43.31,0,1,837.7156,-0.63746643,-0.5193968,4.4605999999999995,8.179708000000002,tp
2020-03-01,37.04,43.31,0,1,885.2106,-0.7898407,-0.3789854,8.726950000000045,8.619352000000001,tp
2020-03-01,37.04,43.56,0,1,878.8706,-0.56040955,-0.59968853,8.259670000000028,8.865519,tp
2020-03-01,37.04,43.81,0,1,877.6456,-0.43730164,-0.7070799,8.226950000000045,8.449479,tp
2022-03-01,37.54,43.31,0,1,775.5331,-0.124896765,0.8752524,-2.9949699999999666,8.346915,tp
2022-03-01,37.54,43.56,0,1,770.6681,0.033458948,0.9104697,-3.2220199999999863,8.122325,tp
2022-03-01,37.29,44.31,0,1,808.2631,0.119549036,0.5401694,-0.6263199999999642,8.591652,tp
2023-11-01,37.29,43.31,0,1,841.155,-0.19978046,-0.23881495,7.030900000000031,8.11262,tp
2023-11-01,37.04,43.31,0,1,888.565,-0.37891865,-0.1939236,10.694479999999999,8.288215,tp
2023-11-01,37.04,43.56,0,1,882.19,-0.17078876,-0.28459132,10.422020000000032,8.264254000000001,tp
2024-03-01,37.79,43.31,0,1,746.4675,0.23251963,0.9606386,-1.7561999999999784,8.184464,tp
2024-03-01,37.54,44.06,0,1,774.5475,0.38660288,0.56857926,0.10317000000003418,8.537085,tp
2024-03-01,36.54,44.81,0,1,846.0325,0.13742685,0.3804689,6.534800000000018,8.3740065,tp
