valid_time,latitude,longitude,number,expver,sp,u10,v10,t2m,tp,lat,lon,Aykırı_Sütun
1955-04-01,37.54,44.56,0,1,778.2744,1.3009381,1.1854048,5.142719999999997,2.4852438,37.54,44.56,u10
1955-04-01,37.29,44.81,0,1,794.8544,1.3773541,1.171916,6.76284000000004,2.166359,37.29,44.81,u10
1955-07-01,36.29,43.31,0,1,963.11875,1.2739631,0.4324267,34.03823,0.0,36.29,43.31,u10
1955-08-01,36.29,43.31,0,1,964.76375,1.3816761,0.11070336,32.83633000000003,0.0,36.29,43.31,u10
1956-02-01,37.79,44.31,0,1,756.695,1.2916355,1.4493542,-6.0791999999999575,3.3524737,37.79,44.31,u10
1956-02-01,37.79,44.56,0,1,781.915,1.3899632,1.1825085,-4.833839999999952,2.6241049999999997,37.79,44.56,u10
1956-02-01,37.79,44.81,0,1,814.49,1.2541599,0.94721794,-2.920749999999998,1.6499266,37.79,44.81,u10
1956-02-01,37.54,44.56,0,1,774.69,1.3065891,1.3005505,-4.8297000000000025,4.470895,37.54,44.56,u10
1956-02-01,37.54,44.81,0,1,800.935,1.3727512,1.1934948,-3.375599999999963,3.0270324,37.54,44.81,u10
1956-02-01,37.29,44.81,0,1,791.815,1.4367161,1.1440563,-3.726419999999962,5.16517,37.29,44.81,u10
1956-11-01,37.79,44.31,0,1,762.78,1.3587716,1.0373881,-3.0345199999999863,1.6637405,37.79,44.31,u10
1956-11-01,37.79,44.56,0,1,787.76,1.4177315,0.92697555,-1.4021999999999935,1.2580713000000001,37.79,44.56,u10
1956-11-01,37.79,44.81,0,1,820.025,1.3736031,0.81671554,1.2379400000000373,0.6952842,37.79,44.81,u10
1956-11-01,37.54,44.81,0,1,806.515,1.3869088,0.94504195,0.49575000000004366,1.4110764,37.54,44.81,u10
1956-11-01,37.29,44.81,0,1,797.385,1.2951729,0.79260665,-0.05649999999997135,2.043601,37.29,44.81,u10
1958-03-01,37.79,44.06,0,1,749.53,1.3881903,1.5219591,-1.3018599999999765,2.386051,37.79,44.06,u10
1958-03-01,37.79,44.31,0,1,758.37,1.7116156,1.7565172,-0.6814999999999714,1.7346914,37.79,44.31,u10
1958-03-01,37.79,44.56,0,1,783.18,1.7635565,1.5815904,1.410060000000044,1.3836201,37.79,44.56,u10
1958-03-01,37.79,44.81,0,1,815.21,1.6503363,1.4427965,4.028700000000015,0.88151055,37.79,44.81,u10
1958-03-01,37.54,44.56,0,1,776.17,1.6326361,1.6522081,0.19937000000004446,2.1767195,37.54,44.56,u10
1958-03-01,37.54,44.81,0,1,801.96,1.7685614,1.6695421,2.3588000000000306,1.4416749999999998,37.54,44.81,u10
1958-03-01,37.29,44.81,0,1,793.115,1.8674994,1.4924791,1.383700000000033,2.2519405000000003,37.29,44.81,u10
1958-03-01,37.04,44.81,0,1,813.51,1.471015,1.0141466,2.8536600000000476,2.5187310000000003,37.04,44.81,u10
1958-04-01,37.79,44.06,0,1,751.65375,1.302316,1.2368927,2.6642000000000507,2.20682,37.79,44.06,u10
1958-04-01,37.79,44.31,0,1,760.36875,1.595773,1.3604279,4.081200000000024,1.8879352,37.79,44.31,u10
1958-04-01,37.79,44.56,0,1,784.80875,1.5595486,1.2342072,6.42007000000001,1.720327,37.79,44.56,u10
1958-04-01,37.79,44.81,0,1,816.33875,1.3989651,1.0788727,9.136380000000031,1.3985215,37.79,44.81,u10
1958-04-01,37.54,44.56,0,1,777.78875,1.4830105,1.2747345,5.375630000000001,2.035576,37.54,44.56,u10
1958-04-01,37.54,44.81,0,1,803.19875,1.5604947,1.2533112,7.958640000000003,1.6861735,37.54,44.81,u10
1958-04-01,37.29,44.81,0,1,794.35875,1.6944363,1.2360992,7.05680000000001,1.941937,37.29,44.81,u10
1958-04-01,37.04,44.81,0,1,814.22375,1.4607937,0.94508356,8.7731,1.7332016,37.04,44.81,u10
1958-07-01,36.29,43.31,0,1,963.3575,1.3419999,-0.20717758,33.55215000000004,0.0032186508,36.29,43.31,u10
1959-04-01,37.29,44.81,0,1,795.8181,1.3214327,1.043174,7.028470000000027,2.3045866000000004,37.29,44.81,u10
1959-06-01,36.29,43.31,0,1,969.27,1.2772565,-0.45549852,29.17130000000003,0.18599497,36.29,43.31,u10
1959-08-01,36.29,43.31,0,1,964.21875,1.3079243,-0.22689104,33.17715000000004,0.0,36.29,43.31,u10
1959-09-01,36.29,43.31,0,1,969.50625,1.6164358,-0.13352144,27.665200000000027,0.022502194,36.29,43.31,u10
1960-01-01,37.79,44.56,0,1,785.6419000000001,1.3322103,0.76638895,-6.529639999999972,1.5917036,37.79,44.56,u10
1960-01-01,37.79,44.81,0,1,818.3919000000001,1.2943685,0.69137675,-4.330420000000004,0.9697887599999999,37.79,44.81,u10
1960-01-01,37.54,44.81,0,1,804.6669,1.3344686,0.8555003,-4.811379999999986,1.7630074,37.54,44.81,u10
1960-02-01,37.79,44.31,0,1,759.8306,1.3046235,1.2396553,-4.887299999999982,2.068567,37.79,44.31,u10
1960-02-01,37.79,44.56,0,1,784.9956,1.3609589,1.093476,-3.0874999999999773,1.4218567,37.79,44.56,u10
1960-02-01,37.54,44.81,0,1,803.9556,1.3729218,1.126435,-1.786229999999989,1.5241383000000002,37.54,44.81,u10
1960-02-01,37.29,44.81,0,1,794.8456,1.3518647,0.97848576,-2.8614299999999844,2.9578683999999997,37.29,44.81,u10
1962-07-01,36.29,43.31,0,1,964.76875,1.2861221,0.032146633,36.01406000000003,0.0,36.29,43.31,u10
1963-03-01,37.29,44.81,0,1,791.83,1.2859795,1.014992,-1.885599999999954,4.45023,37.29,44.81,u10
1964-01-01,37.79,44.81,0,1,818.62375,1.3739338,0.28823757,-13.529149999999959,1.3616274,37.79,44.81,u10
1964-05-01,37.79,44.31,0,1,763.2075,1.2686837,1.1894155,8.290920000000028,0.52301335,37.79,44.31,u10
1964-05-01,37.54,44.56,0,1,780.3575,1.2595284,1.1127248,9.546780000000012,0.53448725,37.54,44.56,u10
1964-05-01,37.29,44.81,0,1,796.6725,1.4165719,1.0750966,11.060450000000003,0.43527532,37.29,44.81,u10
1964-05-01,37.04,44.81,0,1,816.1525,1.2869637,0.8205189,12.544340000000034,0.34884857999999996,37.04,44.81,u10
1964-08-01,36.29,43.31,0,1,964.3,1.380352,0.012376726,32.197900000000004,0.0,36.29,43.31,u10
1965-01-01,36.29,44.06,0,1,951.2306,-1.4633427,-0.11793232,5.256250000000023,5.195181,36.29,44.06,u10
1965-02-01,37.79,44.31,0,1,756.74,1.2914263,1.2646698,-7.323829999999987,2.7982814,37.79,44.31,u10
1965-02-01,37.79,44.56,0,1,782.15,1.3669878,1.0437225,-6.725930000000005,2.0575149,37.79,44.56,u10
1965-02-01,37.79,44.81,0,1,815.01,1.2794024,0.8400482,-5.606539999999995,1.0056121,37.79,44.81,u10
1965-02-01,37.54,44.81,0,1,801.31,1.3422076,1.0872406,-5.487649999999974,2.6430708999999997,37.54,44.81,u10
1965-02-01,37.29,44.81,0,1,792.065,1.3076617,1.0092987,-5.397069999999985,5.3670034,37.29,44.81,u10
1965-04-01,37.79,44.31,0,1,758.6794,1.4608488,1.1894076,0.7643000000000484,2.9444837,37.79,44.31,u10
1965-04-01,37.79,44.56,0,1,783.3844,1.4582243,1.085892,3.116360000000043,2.3976706,37.79,44.56,u10
1965-04-01,37.79,44.81,0,1,815.2794,1.3304167,1.0306857,5.948400000000049,1.6234063,37.79,44.81,u10
1965-04-01,37.54,44.56,0,1,776.2894,1.362155,1.201401,1.4986800000000358,3.5674714,37.54,44.56,u10
1965-04-01,37.54,44.81,0,1,802.0044,1.4720182,1.2757723,3.845360000000028,2.429261,37.54,44.81,u10
1965-04-01,37.29,44.81,0,1,793.0794000000001,1.5420256,1.1180575,2.5694799999999987,3.7518882000000002,37.29,44.81,u10
1966-06-01,36.29,43.31,0,1,968.55875,1.5424297,-0.19628644,31.366100000000017,0.0,36.29,43.31,u10
1968-01-01,37.79,44.56,0,1,780.7081,1.3931513,1.0723692,-8.503029999999967,2.7739264,37.79,44.56,u10
1968-01-01,37.79,44.81,0,1,813.7330999999999,1.3374872,0.97935164,-6.88289999999995,1.591847,37.79,44.81,u10
1968-01-01,37.54,44.81,0,1,799.9680999999999,1.3796015,1.1910216,-7.122659999999996,3.0042387,37.54,44.81,u10
1968-01-01,37.29,44.81,0,1,790.7031,1.3771601,1.0518614,-7.313819999999964,4.737065,37.29,44.81,u10
1968-08-01,36.29,43.31,0,1,967.54375,1.5167558,-0.31759053,31.45034000000004,0.0,36.29,43.31,u10
1969-01-01,36.29,44.06,0,1,951.10375,-1.4965286,0.09750652,6.6381000000000085,6.8992022,36.29,44.06,u10
1970-02-01,37.79,44.31,0,1,759.4131,1.2671428,1.1772181,-3.9041499999999587,1.5632161,37.79,44.31,u10
1970-02-01,37.79,44.56,0,1,784.6181,1.3107829,1.0487391,-2.4617700000000013,1.0670670000000002,37.79,44.56,u10
1970-02-01,37.54,44.81,0,1,803.5980999999999,1.3095012,1.1230799,-1.099459999999965,1.0706433,37.54,44.81,u10
1970-02-01,37.29,44.81,0,1,794.4131,1.3076701,1.0132166,-1.772799999999961,2.4971017,37.29,44.81,u10
1970-05-01,37.79,44.31,0,1,762.3881,1.4955957,1.342724,8.962800000000016,1.5239973,37.79,44.31,u10
1970-05-01,37.79,44.56,0,1,786.5880999999999,1.4912622,1.1970941,11.122950000000003,1.5323717000000001,37.79,44.56,u10
1970-05-01,37.79,44.81,0,1,817.7881,1.3246973,1.0650445,13.853420000000028,1.3120134,37.79,44.81,u10
