valid_time;t2m
1.03.1983 00:00;275,1459961
1.04.1983 00:00;281,7727051
1.05.1983 00:00;288,8322754
1.06.1983 00:00;294,0107422
1.07.1983 00:00;298,8815918
1.08.1983 00:00;297,8330078
1.09.1983 00:00;293,9597168
1.10.1983 00:00;285,9436035
1.11.1983 00:00;281,079834
1.12.1983 00:00;274,5915527
1.01.1984 00:00;272,2463379
1.02.1984 00:00;273,4584961
1.03.1984 00:00;277,7199707
1.04.1984 00:00;281,9450684
1.05.1984 00:00;286,6115723
1.06.1984 00:00;295,4052734
1.07.1984 00:00;300,3598633
1.08.1984 00:00;297,4631348
1.09.1984 00:00;294,9743652
1.10.1984 00:00;286,3928223
1.11.1984 00:00;278,7431641
1.12.1984 00:00;271,0793457
1.01.1985 00:00;273,2282715
1.02.1985 00:00;269,4294434
1.03.1985 00:00;272,2553711
1.04.1985 00:00;283,2019043
1.05.1985 00:00;289,6103516
1.06.1985 00:00;295,8139648
1.07.1985 00:00;299,107666
1.08.1985 00:00;299,9528809
1.09.1985 00:00;294,0556641
1.10.1985 00:00;284,9902344
1.11.1985 00:00;281,3950195
1.12.1985 00:00;271,3349609
1.01.1986 00:00;272,0170898
1.02.1986 00:00;274,3395996
1.03.1986 00:00;277,9013672
1.04.1986 00:00;284,3579102
1.05.1986 00:00;285,9318848
1.06.1986 00:00;293,1484375
1.07.1986 00:00;300,5725098
1.08.1986 00:00;299,9941406
1.09.1986 00:00;295,9355469
1.10.1986 00:00;286,4133301
1.11.1986 00:00;276,8361816
1.12.1986 00:00;271,8063965
1.01.1987 00:00;273,1623535
1.02.1987 00:00;274,8530273
1.03.1987 00:00;273,7268066
1.04.1987 00:00;280,4968262
1.05.1987 00:00;290,1547852
1.06.1987 00:00;296,0512695
1.07.1987 00:00;299,6755371
1.08.1987 00:00;298,2167969
1.09.1987 00:00;294,1003418
1.10.1987 00:00;285,2824707
1.11.1987 00:00;278,8347168
1.12.1987 00:00;274,3305664
