valid_time;u10
1.07.1996 00:00:00;-0,1417763
1.08.1996 00:00:00;-0,1402755
1.09.1996 00:00:00;-0,1121044
1.10.1996 00:00:00;-0,4178788
1.11.1996 00:00:00;-0,4683376
1.12.1996 00:00:00;-0,9122601
1.01.1997 00:00:00;-0,5976661
1.02.1997 00:00:00;-0,9683123
1.03.1997 00:00:00;-0,6661162
1.04.1997 00:00:00;-0,7112770
1.05.1997 00:00:00;-0,3392141
1.06.1997 00:00:00;-0,2235460
1.07.1997 00:00:00;0,1030185
1.08.1997 00:00:00;-0,1435706
1.09.1997 00:00:00;-0,1844007
1.10.1997 00:00:00;-0,4655604
1.11.1997 00:00:00;-0,5004210
1.12.1997 00:00:00;-0,7488180
1.01.1998 00:00:00;-0,9254484
1.02.1998 00:00:00;-0,8112055
1.03.1998 00:00:00;-0,7617576
1.04.1998 00:00:00;-0,5610002
1.05.1998 00:00:00;-0,2424848
1.06.1998 00:00:00;-0,2505772
1.07.1998 00:00:00;-0,0471183
1.08.1998 00:00:00;-0,2070880
1.09.1998 00:00:00;-0,1306989
1.10.1998 00:00:00;-0,3922240
1.11.1998 00:00:00;-0,5909836
1.12.1998 00:00:00;-0,7770259
1.01.1999 00:00:00;-0,5268912
1.02.1999 00:00:00;-0,7397909
1.03.1999 00:00:00;-0,7333636
1.04.1999 00:00:00;-0,2938829
1.05.1999 00:00:00;-0,0259834
1.06.1999 00:00:00;-0,0536970
1.07.1999 00:00:00;-0,1302085
1.08.1999 00:00:00;-0,0794787
1.09.1999 00:00:00;-0,1709251
1.10.1999 00:00:00;-0,4119700
1.11.1999 00:00:00;-0,5241194
1.12.1999 00:00:00;-0,8687735
1.01.2000 00:00:00;-0,9771633
1.02.2000 00:00:00;-0,9527407
1.03.2000 00:00:00;-0,5860471
1.04.2000 00:00:00;-0,6174292
1.05.2000 00:00:00;-0,2127711
1.06.2000 00:00:00;-0,0765728
1.07.2000 00:00:00;-0,0814085
1.08.2000 00:00:00;0,0990683
1.09.2000 00:00:00;-0,0546196
1.10.2000 00:00:00;-0,3718439
1.11.2000 00:00:00;-0,4327015
1.12.2000 00:00:00;-0,7887506
1.01.2001 00:00:00;-0,8145916
1.02.2001 00:00:00;-0,8539925
1.03.2001 00:00:00;-0,5539079
1.04.2001 00:00:00;-0,3784822
1.05.2001 00:00:00;-0,1832595
1.06.2001 00:00:00;0,0969571
1.07.2001 00:00:00;-0,1523074
1.08.2001 00:00:00;0,0135999
1.09.2001 00:00:00;-0,2132244
1.10.2001 00:00:00;-0,3300893
1.11.2001 00:00:00;-0,6292736
1.12.2001 00:00:00;-0,9048586
1.01.2002 00:00:00;-0,9624472
1.02.2002 00:00:00;-0,7408650
1.03.2002 00:00:00;-0,7057943
1.04.2002 00:00:00;-0,4530055
1.05.2002 00:00:00;-0,2842267
1.06.2002 00:00:00;0,0049847
1.07.2002 00:00:00;-0,0069966
1.08.2002 00:00:00;-0,0374439
1.09.2002 00:00:00;-0,2154589
1.10.2002 00:00:00;-0,5882896
1.11.2002 00:00:00;-0,5299108
1.12.2002 00:00:00;-0,8126783
1.01.2003 00:00:00;-0,9178600
1.02.2003 00:00:00;-0,8753433
1.03.2003 00:00:00;-0,7804555
1.04.2003 00:00:00;-0,6894777
1.05.2003 00:00:00;-0,2359382
1.06.2003 00:00:00;-0,0197068
1.07.2003 00:00:00;-0,0905457
1.08.2003 00:00:00;-0,0466447
1.09.2003 00:00:00;-0,1101897
1.10.2003 00:00:00;-0,5409438
1.11.2003 00:00:00;-0,4952250
1.12.2003 00:00:00;-0,8361759
1.01.2004 00:00:00;-0,9471493
1.02.2004 00:00:00;-0,8064785
1.03.2004 00:00:00;-0,5800699
1.04.2004 00:00:00;-0,3797964
1.05.2004 00:00:00;-0,4699317
1.06.2004 00:00:00;-0,0141613
1.07.2004 00:00:00;-0,0101203
1.08.2004 00:00:00;-0,1608681
1.09.2004 00:00:00;-0,2604989
1.10.2004 00:00:00;-0,4203649
1.11.2004 00:00:00;-0,6463175
1.12.2004 00:00:00;-0,6373215
1.01.2005 00:00:00;-0,8489752
1.02.2005 00:00:00;-0,8285522
1.03.2005 00:00:00;-0,6235155
1.04.2005 00:00:00;-0,5943027
1.05.2005 00:00:00;-0,3092378
1.06.2005 00:00:00;-0,0083067
1.07.2005 00:00:00;-0,0921978
1.08.2005 00:00:00;-0,1453773
1.09.2005 00:00:00;-0,2216176
1.10.2005 00:00:00;-0,5199568
1.11.2005 00:00:00;-0,6992422
1.12.2005 00:00:00;-0,9491119
1.01.2006 00:00:00;-0,7692871
1.02.2006 00:00:00;-0,9501181
1.03.2006 00:00:00;-0,6800506
1.04.2006 00:00:00;-0,7081432
1.05.2006 00:00:00;-0,3004025
1.06.2006 00:00:00;-0,0689290
1.07.2006 00:00:00;0,0044807
1.08.2006 00:00:00;-0,2379099
1.09.2006 00:00:00;-0,0465388
1.10.2006 00:00:00;-0,6803551
1.11.2006 00:00:00;-0,5599633
1.12.2006 00:00:00;-0,6359806
1.01.2007 00:00:00;-0,7364874
1.02.2007 00:00:00;-0,7625005
1.03.2007 00:00:00;-0,5020937
1.04.2007 00:00:00;-0,5373626
1.05.2007 00:00:00;-0,6630753
1.06.2007 00:00:00;0,0103850
1.07.2007 00:00:00;-0,1113091
1.08.2007 00:00:00;-0,2050156
1.09.2007 00:00:00;-0,1150367
1.10.2007 00:00:00;-0,4552780
1.11.2007 00:00:00;-0,5878320
1.12.2007 00:00:00;-0,7476669
1.01.2008 00:00:00;-0,7474928
1.02.2008 00:00:00;-0,7761450
1.03.2008 00:00:00;-0,7301933
1.04.2008 00:00:00;-0,4573485
1.05.2008 00:00:00;-0,1607435
1.06.2008 00:00:00;0,1581372
