Year;Month;Average_Temperature (°C);Precipitation (mm);;;
1997;1;-3.7486267;2.782835;;;
1997;1;-4.1929626;2.5014415;;;
1997;1;-4.7808533;2.8659835;;;
1997;1;-4.847748;1.0103716;;;
1997;1;-5.079193;1.3259186;;;
1997;1;-5.195404;2.9518738;;;
1997;1;-5.2764587;2.9871001;;;
1997;1;-5.285248;3.001584;;;
1997;1;-5.4146423;2.7260914;;;
1997;1;-5.6075134;2.1504893;;;
1997;1;-6.5884705;2.4255648;;;
1997;1;-6.879486;1.6510619;;;
1997;1;-7.1651306;2.0444527;;;
1997;1;-7.197357;2.482666;;;
1997;1;-7.205658;1.218213;;;
1997;1;-7.2168884;2.2777452;;;
1997;1;-7.269623;2.4240746;;;
1997;1;-8.435638;1.8245114;;;
1997;1;-8.445892;1.3740195;;;
1997;1;-8.51181;1.50813;;;
1997;1;-8.541107;1.2942685;;;
1997;1;-8.764252;1.7129315;;;
1998;1;5.4396057;3.6225498;;;
1998;1;5.3111877;3.778237;;;
1998;1;5.111725;3.8535774;;;
1998;1;4.2220764;4.2016683;;;
1998;1;4.0902405;3.4783065;;;
1998;1;3.9422913;3.658551;;;
1998;1;3.6075745;3.9494214;;;
1998;1;2.7088928;4.335898;;;
1998;1;2.535553;4.679936;;;
1998;1;1.7176819;5.2753863;;;
1998;1;1.5602112;3.6931217;;;
1998;1;0.8883362;4.7633824;;;
1998;1;0.57901;5.859035;;;
1998;1;0.53115845;3.8371265;;;
1998;1;0.36416626;4.18784;;;
1998;1;0.18203735;4.126447;;;
1998;1;-0.10360718;4.322785;;;
1998;1;-0.8851013;5.4303584;;;
1998;1;-1.988617;4.4011054;;;
1998;1;-2.5420837;5.918282;;;
1998;1;-3.019867;4.696625;;;
1998;1;-3.177826;4.3283877;;;
1998;1;-3.7105408;4.457968;;;
1998;1;-4.04599;4.6311793;;;
1998;1;-4.1228943;3.7976682;;;
1998;1;-4.2674255;4.314917;;;
1998;1;-4.2901306;4.491943;;;
1998;1;-5.5205994;3.1099498;;;
1998;1;-5.843109;3.979939;;;
1998;1;-6.2364197;1.1128366;;;
1998;1;-6.455414;3.8923204;;;
1998;1;-6.5193787;3.6827505;;;
1998;1;-6.5906677;3.1727731;;;
1998;1;-6.7603455;3.819126;;;
1998;1;-6.8628845;3.8697898;;;
1998;1;-6.884369;1.5406787;;;
1998;1;-6.9466248;2.3596466;;;
1998;1;-8.047211;2.8219402;;;
1998;1;-8.137054;1.8748224;;;
1998;1;-8.172211;2.2547424;;;
1998;1;-8.20517;1.3321817;;;
1998;1;-8.482513;2.7612627;;;
1998;1;-8.555267;2.4417818;;;
1998;1;-8.626068;2.649802;;;
1998;1;-9.811371;1.4509141;;;
1998;1;-9.812347;1.8758953;;;
1998;1;-10.168793;1.8172443;;;
1998;1;-10.172699;1.5764415;;;
1998;1;-10.17392;1.715678;;;
1999;1;9.207184;1.382208;;;
1999;1;9.008453;1.4610649;;;
1999;1;8.813629;1.677251;;;
1999;1;8.326324;1.4973046;;;
1999;1;8.111969;1.5722872;;;
1999;1;8.055817;1.9719363;;;
1999;1;7.7467346;1.7584325;;;
1999;1;6.9669495;2.057767;;;
1999;1;6.573883;2.2824168;;;
1999;1;6.438629;1.4531971;;;
1999;1;6.0572815;1.528597;;;
1999;1;5.672516;1.7193319;;;
1999;1;5.5812073;2.5066495;;;
1999;1;5.354645;1.8877746;;;
1999;1;5.313141;2.3877978;;;
1999;1;4.690094;2.113974;;;
1999;1;4.2047424;2.7189016;;;
1999;1;3.4977112;2.642727;;;
1999;1;2.9249573;1.5563132;;;
1999;1;2.5924377;2.2814035;;;
1999;1;2.5870667;1.5681745;;;
1999;1;2.3941956;1.6120435;;;
1999;1;2.25943;1.7533065;;;
1999;1;1.955719;1.8465282;;;
1999;1;1.402008;2.818203;;;
1999;1;0.22769165;1.888609;;;
1999;1;-0.20541382;2.377665;;;
1999;1;-0.6746521;1.2139441;;;
1999;1;-1.2347107;1.2573959;;;
1999;1;-1.4300232;1.8061162;;;
1999;1;-1.4358826;1.3270141;;;
1999;1;-1.7693787;1.410997;;;
1999;1;-2.14682;1.0317923;;;
1999;1;-2.8611755;1.504934;;;
1999;1;-2.9060974;1.0955096;;;
1999;1;-3.190277;1.4971257;;;
1999;1;-3.315277;1.3493658;;;
1999;1;-4.630707;1.0657669;;;
1999;1;-4.9964294;1.1387826;;;
1999;1;-5.0716248;0.9976388;;;
1999;1;-5.6946716;1.1927844;;;
1999;1;-5.801117;0.98637354;;;
1999;1;-5.8977966;0.98154557;;;
1999;1;-5.9549255;1.0297657;;;
1999;1;-6.261078;1.0506274;;;
1999;1;-6.697113;0.8999468;;;
1999;1;-7.026703;0.76696885;;;
